name,phone,address,city,state,zipcode,website
"Ameco Solar, Inc.",(562) 633-4400,7623 Somerset Blvd,Paramount, CA,90723,www.solarexpert.com
Armor Electric,(310) 773-9938,2110 Artesia Blvd,Redondo Beach, CA,90278,www.armorelectricsolar.com
Remodel USA,(310) 222-8662,2291 W. 205th St.,Torrance, CA,90501,www.remodelusa.com
Smart Solar,(310) 278-1999,311 N. Robertson,Beverly Hills, CA,90211,smartsolar.com
Harrison Electric,(562) 695-8321,11830 Camilla St.,Whittier, CA,90601,www.harrisonelectric.com
Ameritech Energy Solution,(323) 583-5949,8272 Compton Ave.,Los Angeles, CA,90001,www.ameritechinc.net
Express Electric Service Co,(323) 666-0801,3124 West Sunset Blvd.,Los Angeles, CA,90026,www.explectric.com
Crown Home Center,(310) 984-7647 ,1800 S. Robertson Blvd.,Los Angeles, CA,90035,www.crownhomecenter.com
California Solar Engineering,(323) 258-8883 ,820 Cynthia Ave.,Los Angeles, CA,90065,www.CalSolarEng.com
"Tecnospot Solar USA, Inc.",(310) 479-7744,1640 S. Sepulveda Blvd.,Los Angeles, CA,90025,www.tecnospotsolar.com
"Ramos Construction, Inc.",(310) 809-5018,1318 W. 131 St.,Compton, CA,90222,www.ramosconstructioninc.com
Independence Power,(213) 627-7200,1320 E Olympic Blvd ,Los Angeles, CA,90021,www.independencepower.com
"Gray Solar, Inc.",(213) 444-0123,112 West 9th St.,Los Angeles, CA,90015,Www.graysolar.com
Pacific Coast Electric Company,(213) 385-9395,2140 W. Olympic Blvd.,Los Angeles, CA,90006,www.pce4u.com
Solar Spark Electrical,(888) 232-1894 ,515 South Flower St.,Los Angeles, CA,90071,www.solarsparkelectrical.com
"SolarAlign, Inc.",(855) 200-0786,515 S Flower St.,Los Angeles, CA,90071,www.solaralign.com
BGreenLA,(213) 482-1888 ,1055 Wilshire Blvd.,Los Angeles, CA,90017,www.bgreenla.com
M. B. Herzog Electric,(562) 531-2002,15709 Illinois Ave.,Paramount, CA,90723,www.herzogelectric.com
Clean Earth Renewable Energy,(877) 203-3925,335 Manchester Blvd.,Inglewood, CA,90301,www.calcleanearth.com
Solarcon,(213) 703-5080,1106 S Bronson Ave.,Los Angeles, CA,90019,www.gosolarcon.com
Samwon Construction,(213) 384-7545,2500 Wilshire Blvd.,Los Angeles, CA,90057,www.samwonconstruction.com
J Y Construction Inc,(213) 568-3607,722 S Ardmore Ave.,Los Angeles, CA,90005,www.jycmi.net
Pacific Utility Inc.,(562) 803-9100,12211 Woodruff Ave.,Downey, CA,90241,www.pacutility.com
Solar-G Electric,(310) 676-4626,15621 Sombra Ave.,Lawndale, CA,90260,www.solar-g.net
Liv-Mod,(323) 243-6100,857 Hyperion Ave.,Los Angeles, CA,90029,www.Liv-Mod.com
Solar-G,(310) 406-4708,15621 Sombra Ave.,Lawndale, CA,90260,www.solar-g.net
KRC Enterprises Inc.,(562) 803-9100,12211 Woodruff Ave.,Downey, CA,90241,www.pacutility.com
D&L Electrical,(562) 422-8140,3129 E. 63rd St.,Long Beach, CA,90805,www.DandLelectrical.com
Absolutely Solar Inc.,(323) 665-3192,2146 Lemoyne St.,Los Angeles, CA,90026,www.absolutelysolar.us
White Oak,(424) 227-9512,5827 West 77th Pl.,Los Angeles, CA,90045,www.whiteoaksolar.com
SolarCity,(855) 860-7652,6334 Arizona Pl.,Los Angeles, CA,90045,www.solarcity.com
Solar IPD,(310) 939-7777,2281 - W. 190th St.,Torrance, CA,90504,www.solaripd.com
Permacity Construction Corp,(323) 692-9264,5570 W. Washington Blvd.,Los Angeles, CA,90016,www.permacity.com
S&F Electric,(323) 973-9357,1239 S. Spaulding Ave.,Los Angeles, CA,90019,www.sf-electric-inc.com
Endless Solar Electric,(714) 366-5569,4838 Graywood Ave.,Long Beach, CA,90808,www.myendlesssolar.com
SFR Solar,(310) 289-1555,1535 S La Cienega Blvd.,Los Angeles, CA,90035,sfrsolar.com
Metrocell Construction Inc,(714) 529-1123,8104 Freestone Ave.,Santa Fe Springs, CA,90670,www.metrocell.org
Lite Solar Corp,(562) 256-1249,3711 Long Beach Blvd.,Long Beach, CA,90807,www.litesolar.com
Tatkraft Solar,(310) 505-6410 ,2110 Artesia Blvd.,Redondo Beach , CA,90278.0,www.TatkraftSolar.com
"CSI Electrical Contractors, Inc",(562) 946-0700,10623 Fulton Wells Ave.,Santa Fe Springs, CA,90670,www.csielectric.com
Sun Electric,(310) 618-8860,901 Van Ness Ave.,Torrance, CA,90501,www.sunelectricinc.com
PDE Total Energy Solutions,(562) 204-3550,9970 Bell Ranch Rd.,Santa Fe Springs, CA,90670,www.pdeinc.com
"Mangan, Inc.",(310) 241-6002 ,1500 W. Carson St.,Long Beach, CA,90810,Manganinc.com
Hollywood Electricians,(322) 467-2926,4301 Clarissa Ave.,Los Angeles, CA,90027,HWDELECTRICIANS.COM
Electro Construction Corp,(323) 660-4141,3021 Rowena Ave.,Los Angeles, CA,90039,www.electroconstruction.com
CAM Construction,(310) 322-7070,310 E. Imperial Ave.,El Segundo, CA,90245,www.cam-constructioninc.com
ACS Group,(562) 464-0880,8531 Wellsford Pl.,Santa Fe Springs, CA,90670,www.acsgroup-usa.com
MAP Solar,(310) 753-7040,10845 Garfield Ave.,Culver City, CA,90230,mapsolar.net
IntelliWorx Systems Inc.,(310) 937-7321,2110 Artesia Blvd.,Redondo Beach, CA,90278,www.intelliworx.net
"Engelbach Electric, Inc.",(562) 420-6476,4701 E. Greenmeadow Rd.,Long Beach, CA,90808,www.engelbachelectric.com
Bonterra,(310) 339-4027,2711 N. Sepulveda,Manhattan Beach, CA,90266,www.bonterrasolar.com
RMS Solar,(424) 206-4461,1001 6th St.,Manhattan Beach, CA,90266,www.solar.rmsbuilding.com
"New Energy Construction, Inc.",(310) 621-1728,563 31st St.,Manhattan Beach, CA,90266,www.newenergyconstruction.com
California Solar Energy,(323) 478-0330,1562 North Ave. 46 ,Los Angeles, CA,90041,www.calsolarenergy.com
"Sunshine Solar, LLC",(310) 988-2878,4712 Admiralty Way,Marina Del Rey, CA,90292,www.venicesunshinesolar.com
OHR Energy,(562) 946-3381,13039 East Florence Ave.,Santa Fe Springs, CA,90670,www.ohrenergy.com
"Greenway Solar Electric, Inc.",(310) 439-1541,1219 Morningside Dr.,Manhattan Beach, CA,90266,www.Greenway-Solar.com
CBeyond Solar,(310) 622-4447,20707 Hawthorne Blvd.,Torrance, CA,90503,www.CBeyondSolar.com
Urban Energy,(562) 447-4971,6103 Elsa St.,Lakewood, CA,90713,www.urbanenergysolar.com
Alliance Energy Company,(626) 831-0818,131 Lime Ave.,San Gabriel, CA,91776,www.alliance-solar.com
"Penna Electric, Inc.",(310) 800-2401 ,112 Seaview St.,Manhattan Beach, CA,90266,www.pennaelectric.com
EcoLuminaireUSA,(626) 452-8833,2714 Stingle Ave.,Rosemead, CA,91770,www.ecoluminaireusa.com
Xero Solar,(310) 798-4828,1112 Ocean View Dr.,Manhattan Beach, CA,90266,www.xerosolar.com
Hyperion Solar,(310) 570-9611,9900 Durant Dr.,Beverly Hills, CA,90212,www.hyperionsolarinc.com
"AlertOne, Inc.",(760) 809-4151,13619 Terrace Ave.,Whittier, CA,90601,www.alertoneusa.com
Renewable Energy Advantage,(888) 416-1415,"1659 E, 28th St. ",Signal Hill, CA,90755,www.renewableusa.com
"City Light & Power, Inc.",(562) 216-2155,2961 Redondo Ave.,Long Beach, CA,90806,CLPINC.COM
Shining Light Electric,(310) 629-9362,5212 Parkcrest St.,Long Beach, CA,90808,ShiningLightElectric.com
Constant Solar Electric,(310) 694-5133,13101 W. Washington Blvd.,Los Angeles, CA,90066,www.constantsolar.com
"Solar Optimum, Inc",(818) 804-3122,1010 North Central Ave.,Glendale, CA,91202,www.solaroptimum.com
Martifer Solar USA,(310) 820-7080,2040 Armacost Ave.,Los Angeles, CA,90025,www.MartiferSolarUSA.com
"CONTI ELECTRIC, INC.",(702) 222-1200,11400 W. Olympic Blvd.,Los Angeles, CA,90064,www.contielectric.com
Sunsystem Solar,(800) 976-5271,13337 South St.,Cerritos, CA,90703,www.sunsystemsolar.com
Run on Sun,(626) 793-6025,655 S Raymond Ave.,Pasadena, CA,91105,www.runonsun.com
Empire Solar Solutions Inc.,(800) 786-1010,530 South Lake Ave.,Pasadena, CA,91101,www.empiresolar.com
"ABC Solar, Inc",(866) 407-6527,24454 Hawthorne Blvd.,Torrance, CA,90505,www.abcsolar.com
"Suntricity, Inc.",(310) 459-7062 ,8 Horizon Ave.,Venice, CA,90291,www.solarsuntricity.com
Solar One,(310) 701-1000,1310 Westwood Blvd.,Los Angeles, CA,90024,www.gosolaroneusa.com
Associated Community Solar Electric,(818) 378-1173,2000 W. Madison Ave.,Montebello, CA,90640,SolarSciences.biz
Power Electric & Construction,(626) 625-5200,2300 S. Sycamore Ave.,Los Angeles, CA,90016,powerelectricsolar.com
Feather River Solar Electric,(530) 284-7849 ,5575 Genessee Rd.,Taylorsville, CA,95983,www.frenergy.net
Madden Plumbing & Heating Company,(530) 283-1605,2289 E Main St.,Quincy, CA,95971,maddenplumbing.com
Desert Pro-Tech Screens,(619) 414-4531,,El Centro, CA,92243,desertprotech.com
"Campesinos Unidos, Inc.",(760) 344-4500,1535 Main St.,Brawley, CA,92227,www.brawley.cui.com
"Delbert Howards Building, Inc.",(530) 336-5172,829 Schnieder Ranch Rd.,Mcarthur, CA,96056,delberthowardsbuilding.com
Constant Energy Source,(530) 669-7989,30 Main St.,Woodland, CA,95695,
Nationwize Solar,(530) 796-2233,15839 County Road #43,Guinda, CA,95637,
All About Solar,(530) 668-0269,821 Sycamore Ln.,Woodland, CA,95695,
Solaron,(530) 750-0200,430 D St.,Davis, CA,95616,
Blue Oak Energy,(530) 747-2026,"1560 Drew Ave, ",Davis, CA,95618,
Pearce Heating & A/C Incorporated,(530) 795-4300,27990 County Road #90,Winters, CA,95694,
Urban Design Solar,(530) 345-0005,2260 Park Ave.,Chico, CA,95928,
Royal Aire,(530) 924-5765,2530 Zanella Way,Chico, CA,95928,wecareroyalaire.com
Diversified Builders,(530) 514-0758,,Paradise, CA,95967,diversified-builders.com
Oak Leaf Solar & Electrical,(530) 877-7685,5467 Skyway,Paradise, CA,95969,www.oakleafsolar.com
RA Power Solar & Electric,(530) 520-2276,,Forest Ranch, CA,95942,www.rapowerelectric.com
Egan Electric,(530) 345-7264,2625 Aztec Dr.,Chico, CA,95928,www.eganelectric.com
Energy Efficiently,(800) 681-2709,162 Artesia Dr.,Chico, CA,95973,www.energyefficiently.com
Green Construction Service,(530) 230-0656,11 Commerce Ct. ,Chico, CA,95928,www.greenconstructionservice.com
Asolia Inc.,(530) 643-7657,65 Hampshire Dr.,Chico, CA,95926,www.asolia.com
Revolve Solar,(530) 410-6566,574 Manzanita Ave.,Chico, CA,95926,revolvesolar.com
Urban Design Solar,(530) 345-0005,2260 Park Ave.,Chico, CA,95928,urbandesignsolar.com
Kelly Ridge Heating & Air Conditioning,(530) 589-9059,2 La Foret Ct.,Oroville, CA,95966,kellyridgehvac.com
Frank's Air Conditioning & Heating,(530) 877-8881,5655 Almond St.,Paradise, CA,95969,franksairconditioning.com
Chico Electric,(530) 924-5286,36 W. Eaton Rd.,Chico, CA,95973,chicoelectric.com
Sun First Inc.,(415) 458-5870,"3060 Kerner Blvd,",San Rafael, CA,94901,www.sunfirstsolar.com
"Northern Pacific Roofing, Inc.",(415) 456-3482,1312 Mission Ave.,San Rafael, CA,94901,www.northernpacificroofing.com
Green Planet Solar,(415) 485-4477,62 Belvedere St.,San Rafael, CA,94901,www.greenplanet-solar.com
Harney Lighting & Electric,(415) 454-7893,429 Irwin St.,San Rafael, CA,94901,www.harneyelectric.com
Electrix,(415) 485-0777,517 Jacoby St.,San Rafael, CA,94901,www.eltrx.com
Helbig Lighting Design & Electric,(415) 479-4662,454 Las Gallinas Ave.,San Rafael, CA,94903,Helbiglighting.com
Norcal PV LLC.,(415) 992-6326,14 Willow Ave.,Larkspur, CA,94939,www.norcalpv.com
REP Energy,(415) 385-4800,40 Mark Dr.,San Rafael, CA,94903,www.repenergy.com
"John Owens Services, Inc.",(415) 456-2906,177 Frustuck Ave.,Fairfax, CA,94930,johnowensservices.com
Synapse Electric,(415) 819-0692,35 Miller Ave.,Mill Valley, CA,94941,www.synapselectric.com
"Solarcraft Services, Inc.",(415) 382-7717,285 Bel Marin Keys Blvd. ,Novato, CA,94949,www.solarcraft.com
Sunterra Solar Inc.,(415) 883-6800,7 Commercial Blvd.,Novato, CA,94949,www.sunterrapower.com
Sierra Wind and Solar,(415) 407-8086,1249 Cambridge St.,Novato, CA,94947,sierrawindandsolar.com
Solwest Energy,(415) 609-2944,,Novato, CA,94948,solwestenergy.com
SESCO Electrical Inc,(510) 883-0988,1563 Solano Ave.,Berkeley, CA,94707,www.sescoelectrical.com
